ID,PERMI,  PERMIT_TYPE
1598527,100065078,PERMIT - RENOVATION/ALTERATION
1598880,100065237,PERMIT - NEW CONSTRUCTION
1378485,100065247,PERMIT - NEW CONSTRUCTION
1378485,100070321,PERMIT - RENOVATION/ALTERATION
1378485,100065295,PERMIT - NEW CONSTRUCTION
1378485,100065311,PERMIT - RENOVATION/ALTERATION
1378485,100065400,PERMIT - RENOVATION/ALTERATION
1378485,100065420,PERMIT - RENOVATION/ALTERATION
1599295,100065423,PERMIT - NEW CONSTRUCTION
1599299,100065425,PERMIT - RENOVATION/ALTERATION
1599306,100065430,PERMIT - RENOVATION/ALTERATION
1599424,100065484,PERMIT - RENOVATION/ALTERATION
1599446,100065502,PERMIT - RENOVATION/ALTERATION
1611517,100071338,PERMIT - ELEVATOR EQUIPMENT
1599637,100065589,PERMIT - RENOVATION/ALTERATION
1599686,100065614,PERMIT - NEW CONSTRUCTION
1599729,100065633,PERMIT - RENOVATION/ALTERATION
1599739,100065640,PERMIT - PORCH CONSTRUCTION
1599797,100065667,PERMIT - ELECTRIC WIRING
1599989,100065763,PERMIT - WRECKING/DEMOLITION
1600080,100065808,PERMIT - RENOVATION/ALTERATION
1600259,100065895,PERMIT - ELEVATOR EQUIPMENT
1600310,100065929,PERMIT - RENOVATION/ALTERATION
1600337,100065939,PERMIT - RENOVATION/ALTERATION
1600349,100065947,PERMIT - RENOVATION/ALTERATION
1600350,100065948,PERMIT - RENOVATION/ALTERATION
1600374,100065959,PERMIT - RENOVATION/ALTERATION
1600382,100065966,PERMIT - RENOVATION/ALTERATION
1600436,100065991,PERMIT - RENOVATION/ALTERATION
1600465,100066011,PERMIT - RENOVATION/ALTERATION
1632328,100083478,PERMIT - SIGNS
1600555,100066046,PERMIT - NEW CONSTRUCTION
1600585,100066071,PERMIT - NEW CONSTRUCTION
1600718,100066119,PERMIT - RENOVATION/ALTERATION
1600764,100066149,PERMIT - RENOVATION/ALTERATION
1600848,100066203,PERMIT - NEW CONSTRUCTION
1601066,100066303,PERMIT - RENOVATION/ALTERATION
1601176,100066377,PERMIT - NEW CONSTRUCTION
1604521,100067787,PERMIT - RENOVATION/ALTERATION
1601259,100066403,PERMIT - NEW CONSTRUCTION
1601302,100066420,PERMIT - NEW CONSTRUCTION
1601346,100066437,PERMIT - RENOVATION/ALTERATION
1601417,100066464,PERMIT - RENOVATION/ALTERATION
1601461,100066481,PERMIT - RENOVATION/ALTERATION
1601573,100066545,PERMIT - RENOVATION/ALTERATION
1601649,100066580,PERMIT - RENOVATION/ALTERATION
1609133,100070077,PERMIT - ELEVATOR EQUIPMENT
1601713,100066597,PERMIT - RENOVATION/ALTERATION
1601757,100066610,PERMIT - RENOVATION/ALTERATION
1601821,100066630,PERMIT - WRECKING/DEMOLITION
1601836,100066633,PERMIT - RENOVATION/ALTERATION
